,CityName,Cuisine,CityRestaurantTotal,CuisineFrequency,CuisineTotal,CityCuisineTotal,CityCuisineFreq,CityCuisineRelFreq,AvgCuisineRating,AvgCuisineCityRtg,CuisineRelativeCityRtg
0,Albuquerque,American,2251,0.1560240424436423,27879,330,0.14660151043980343,0.9396084612585062,4.0580544495856845,3.990909090909098,0.9834538053861082
1,Albuquerque,Asian,2251,0.052869870833426716,9447,121,0.05375388716126154,1.0167206069146715,4.095056631734951,4.111570247933898,1.0040325733400017
2,Albuquerque,Bar,2251,0.062350294374426456,11141,95,0.04220346512661035,0.6768767581620376,4.008392424378427,3.868421052631576,0.965080422042622
3,Albuquerque,Barbecue,2251,0.01178616999843299,2106,23,0.010217681030653044,0.8669212332769266,4.065527065527065,4.021739130434782,0.9892294567502514
4,Albuquerque,Cafe,2251,0.022844798638937985,4082,51,0.02265659706796977,0.9917617321149232,4.228441940225374,4.264705882352936,1.0085761948822292
5,Albuquerque,Caribbean,2251,0.002165834657831703,387,5,0.002221235006663705,1.025579214291208,4.19250645994832,4.4,1.049491525423729
6,Albuquerque,Chinese,2251,0.028793848357995085,5145,67,0.02976454908929367,1.0337120873608052,3.830612244897962,3.805970149253737,0.9935670608067819
7,Albuquerque,Deli,2251,0.009553177676792556,1707,22,0.0097734340293203,1.02305582079383,4.15055653192736,4.0,0.9637261820748058
8,Albuquerque,Diner,2251,0.00861856685545432,1540,24,0.010661928031985788,1.2370882782255501,4.051623376623378,3.9791666666666674,0.9821166225926218
9,Albuquerque,Fast Food,2251,0.03269458933088577,5842,91,0.04042647712127944,1.2364882981750602,4.001369394043137,4.049450549450553,1.01201617513219
10,Albuquerque,French,2251,0.006643012245080702,1187,6,0.0026654820079964462,0.4012459874615308,4.235467565290649,4.25,1.003431128791646
11,Albuquerque,Gluten Free Options,2251,0.06167312126435488,11020,120,0.05330964015992905,0.8643901762556011,4.252450090744104,4.233333333333338,0.9955045310343847
12,Albuquerque,Greek,2251,0.007997358465223522,1429,14,0.006219458018658376,0.7776890389124933,4.177046885934219,4.07142857142857,0.9747145968456067
13,Albuquerque,Indian,2251,0.007460097154753644,1333,9,0.003998223011994669,0.5359478474683086,4.034133533383346,4.222222222222222,1.046624309106875
14,Albuquerque,Italian,2251,0.04025542298135259,7193,61,0.027099067081297182,0.6731780484296551,4.144724037258443,3.959016393442624,0.9551942078298983
15,Albuquerque,Japanese,2251,0.02348279644512098,4196,43,0.019102621057307864,0.8134730078655861,4.12523832221163,4.046511627906976,0.9809158433633364
16,Albuquerque,Latin American,2251,0.015351122652280003,2743,30,0.013327410039982225,0.8681716863230708,4.228217280349981,4.333333333333331,1.0248606081508311
17,Albuquerque,Mediterranean,2251,0.015524613283785902,2774,22,0.0097734340293203,0.6295444434372999,4.251802451333815,4.340909090909093,1.020957379980654
18,Albuquerque,Mexican/Central American,2251,0.0477938707438829,8540,202,0.08973789426921325,1.8776025643559864,4.021018735362989,4.05940594059405,1.0095466367498975
19,Albuquerque,Middle Eastern,2251,0.005551700208188758,992,5,0.002221235006663705,0.40009995557529987,4.189516129032258,4.1,0.978633301251203
20,Albuquerque,Pizza,2251,0.041973539880459376,7500,103,0.04575744113727244,1.0901496816229852,3.955399999999998,3.927184466019413,0.992866578859135
21,Albuquerque,Pub,2251,0.0481240625909427,8599,78,0.03465126610395376,0.7200403340526674,4.005175020351204,3.8397435897435903,0.9586955801514262
22,Albuquerque,Seafood,2251,0.0224138702961653,4005,26,0.011550422034651266,0.515324746776436,4.115855181023719,3.942307692307693,0.9578344035241634
23,Albuquerque,Soups,2251,0.009278950549573554,1658,25,0.011106175033318517,1.1969214593808735,4.173703256936066,4.1599999999999975,0.9967167630057798
24,Albuquerque,South American,2251,0.0033410937744845644,597,5,0.002221235006663705,0.6648227067515871,4.279731993299833,4.6,1.0748336594911936
25,Albuquerque,Southwestern,2251,0.00990015893980436,1769,125,0.055530875166592615,5.609089258489232,4.019785189372541,4.13999999999999,1.029905779777807
26,Albuquerque,Spanish,2251,0.014147881175706829,2528,40,0.01776988005330963,1.2560099871224606,4.190466772151896,4.324999999999998,1.032104592438759
27,Albuquerque,Steakhouse,2251,0.010873945065031004,1943,17,0.007552199022656595,0.6945224550511432,4.081060216160578,3.8529411764705874,0.944102995886544
28,Albuquerque,Sushi,2251,0.021076313491974676,3766,45,0.019991115059973332,0.9485109939926392,4.100106213489113,4.044444444444449,0.9864243104577283
29,Albuquerque,Thai/SE Asian,2251,0.019167916545409756,3425,46,0.02043536206130611,1.0661232801642082,4.148029197080292,4.3913043478260905,1.0586483699095057
30,Albuquerque,Vegan Options,2251,0.06265250386156572,11195,134,0.05952909817858738,0.9501471530989426,4.283966056275126,4.305970149253729,1.0051363835963103
31,Albuquerque,Vegetarian Friendly,2251,0.117615455217031,21016,266,0.11816970235450966,1.0047123665546784,4.226422725542436,4.2086466165413565,0.9957940532323749
32,Atlanta,American,4258,0.15602404244364437,27879,772,0.18130577736026326,1.1620374303899195,4.058054449585635,4.022668393782318,0.9912800441090889
33,Atlanta,Asian,4258,0.05286987083342664,9447,189,0.044387036167214594,0.8395525744154306,4.095056631734936,3.997354497354505,0.9761414448769022
34,Atlanta,Bar,4258,0.06235029437442599,11141,303,0.07116016909347075,1.1412964414592823,4.008392424378395,3.9422442244224394,0.9834975738518792
35,Atlanta,Barbecue,4258,0.01178616999843297,2106,60,0.014091122592766568,1.1955641734880804,4.065527065527071,3.9583333333333366,0.9736334968465313
